Column1,exercise_name,norm
679,Cable Forearm Shit,cable forearm shit
408,Weight Over Bar (Highland Games),weight over bar
523,PullAround,pullaround
713,Weight Over Bar,weight over bar
880,Dynamic Warm-up,dynamic warm up
776,Kneeling Landmine Pushes,kneeling landmine pushes
1504,Cycling Cardio,cycling cardio
1280,Dumbbell Swings,dumbbell swings
1188,Ladder Drills,ladder drills
564,Cycling,cycling
715,Heavy Weight For Distance,heavy weight for distance
1439,Long rope standing overhead ext,long rope standing overhead ext
1210,Loop band Exercise,loop band exercise
1414,Flex - Forearms (Placeholder),flex forearms
554,Rest,rest
1648,REST,rest
1111,Incline dumbell skiers,incline dumbell skiers
1607,Cycling Intervals,cycling intervals
1489,Lat Pullaround Cross Body,lat pullaround cross body
1373,Banded Baseball Complex,banded baseball complex
1432,90-90s,90 90s
1039,Facepulls,facepulls
933,Rest Day,rest day
1308,Toe Press,toe press
1660,Thoracic Spine Foam Rolling,thoracic spine foam rolling
688,Cable Woodchoppers,cable woodchoppers
1679,Dynamic Warmup,dynamic warmup
1659,Foam Rolling,foam rolling
700,Cable Tib Raises,cable tib raises
1747,Dynamic Mobility,dynamic mobility
857,Sled Push And Pull,sled push and pull
1532,Pulley,pulley
766,3 Count Pause Bench,3 count pause bench
639,Undershoot,undershoot
1765,Single-arm Sideways Sit Reverse Pec-Dec,single arm sideways sit reverse pec dec
1362,Leaning Overhead Extension,leaning overhead extension
938,MEOW MEOW,meow meow
1266,Warrior Post 3,warrior post 3
716,Competition (Placeholder),competition
1025,IYT (Banded),iyt
1264,Warrior Post 1,warrior post 1
1654,Seated Forward Fold,seated forward fold
1731,Assault Bike,assault bike
364,T Drll,t drll
1265,Warrior Post 2,warrior post 2
1370,I-Y-T : Reverse Banded,i y t reverse banded
514,Cable Woodchopper,cable woodchopper
1623,Front / Side Raises,front side raises
392,Sand Bag Conditioning,sand bag conditioning
372,21s (EZ Bar),21s
362,Half Kneeling Starts,half kneeling starts
1000,Pelvic Tilts,pelvic tilts
697,Isometric Barbrll hold,isometric barbrll hold
1636,Overhead Cable Rope Extention,overhead cable rope extention
907,Martial Arts,martial arts
1524,DB Gravediggers,db gravediggers
40,Reverse Pec Deck,reverse pec deck
839,Backward Run,backward run
704,Bear Hug,bear hug
1671,Heavy Bag / Shadow Boxing,heavy bag shadow boxing
1040,Loading,loading
758,Overhead Rope Extension,overhead rope extension
559,Optional Lower Body Accessory 1,optional lower body accessory 1
876,Bike,bike
1138,Bodyweight Side Lying Clamshell,bodyweight side lying clamshell
1060,Side Necks,side necks
571,Neck Flexion,neck flexion
1624,Lat Press Down,lat press down
1420,Flex - Horizontal Pull (Placeholder),flex horizontal pull
1441,Bar Assisted Pogo Hops,bar assisted pogo hops
1202,Medicine Ball Throw,medicine ball throw
892,AD Press (Smith Machine),ad press
1405,Swiss Bar Bench,swiss bar bench
1453,Reverse Cable Fly,reverse cable fly
749,Manmaker (Bodyweight),manmaker
1250,Forearm Roller,forearm roller
1372,Resisted Rotations,resisted rotations
401,Neck Extension,neck extension
581,Swim,swim
1620,YTI,yti
65,Pec Deck (Machine),pec deck
1297,Elastic Exercise Glutheus Min/Med.,elastic exercise glutheus min med
1390,Penguins 🐧,penguins
1516,Shoulder Dislocations W/ Band,shoulder dislocations w band
690,Facepull,facepull
931,Weighted GHD Machine,weighted ghd machine
636,Cartwheel,cartwheel
1409,Rest Pause - Horizontal Pull (Placeholder),rest pause horizontal pull
811,Deficit Exploding Pushup,deficit exploding pushup
1041,Paused Bench 2 Sec,paused bench 2 sec
1012,Speed Bench,speed bench
1216,"Smith Machine Assisted SLDL (12,10,8,6,4)",smith machine assisted sldl
1681,40m-200m,40m 200m
1664,Standing Thoracic Rotation,standing thoracic rotation
808,Superman Hold,superman hold
1779,Paused Barbell RDL,paused barbell rdl
1816,Bottom-Half Seated Cable Flye,bottom half seated cable flye
1057,Punching Bag,punching bag
937,Rotary Torso,rotary torso
1146,Side Lying Clam (Plate),side lying clam
1517,Banded Shoulder Extensions,banded shoulder extensions
1061,Cable Step Up,cable step up
1483,Superman Alternating Sides,superman alternating sides
745,Ruck,ruck
710,Light Weight For Distance,light weight for distance
986,Anterior Tibialis Raise,anterior tibialis raise
951,Pec Stretch,pec stretch
1275,Swan Dive,swan dive
1617,Is Ys Ts Ws,is ys ts ws
680,Forearm Shit,forearm shit
1562,Stair Master,stair master
1387,Bear Craw Isometric Hold,bear craw isometric hold
1676,RDLs,rdls
1001,Cat Cow Stretch,cat cow stretch
109,Dumbbell External Rotations,dumbbell external rotations
1408,Strength - Horizontal Push (Placeholder),strength horizontal push
183,Lateral Bear Crawl,lateral bear crawl
788,Any Sports,any sports
563,Stretching,stretching
1382,Close Grip Elevated Pushups,close grip elevated pushups
714,Sheaf Throw,sheaf throw
369,Peterson Step Ups,peterson step ups
481,Cardio (LISS),cardio
1824,Sandbag Floor Press,sandbag floor press
1089,Dealod Week,dealod week
1468,21’s Dumbbell,21 s dumbbell
1753,Sauna,sauna
903,RDL (Smith Machine),rdl
608,Neck Extension (Banded Or Plate),neck extension
1244,Elliptical Machine,elliptical machine
1151,Barbell RDL,barbell rdl
1424,Rest Pause - Biceps (Placeholder),rest pause biceps
1392,Dorsiflexion With Band,dorsiflexion with band
1746,Kennan Flap,kennan flap
1215,"Legg Press (12,10,8,6,4)",legg press
995,Lu Lateral Raises,lu lateral raises
1421,Rest Pause - Vertical Push (Placeholder),rest pause vertical push
1805,Bottom-Half DB Flye,bottom half db flye
1740,Banded Fire Hydrants,banded fire hydrants
829,45 Degree Back Raise,45 degree back raise
591,Burpee-Pullups,burpee pullups
1257,Reverse Grip Bench,reverse grip bench
1343,Shr,shr
743,Forearm,forearm
936,Barbell Front Raises,barbell front raises
1161,Chinese Lateral Elevations,chinese lateral elevations
1130,Scarecrows,scarecrows
497,Cobra Pushups,cobra pushups
1359,Standing Overhead Extension,standing overhead extension
1403,Rising,rising
1411,Rest Pause - Vertical Pull (Placeholder),rest pause vertical pull
87,VO2 Max Intervals,vo2 max intervals
1371,Single Arm Press - Iso Arms,single arm press iso arms
1189,Terminal Knee Extension,terminal knee extension
1394,Resisted Alternating Knee To Chest,resisted alternating knee to chest
1125,Deficit Handstand Push Up,deficit handstand push up
1334,Smith Machine Upright Rows,smith machine upright rows
1742,Deadbugs,deadbugs
1386,Side Knees To Elbows,side knees to elbows
1506,Bench T-Spine Stretch,bench t spine stretch
600,Sandbag Carry,sandbag carry
255,Katana Extension,katana extension
1400,Decline Dumbell Scullcrusher,decline dumbell scullcrusher
1147,B Stance rdl,b stance rdl
1410,Strength - Vertical Push (Placeholder),strength vertical push
1482,Superman Quad,superman quad
1137,Bodyweight RDL,bodyweight rdl
1675,SchräGbankdrüCken,schr gbankdr cken
708,Braemar Stone,braemar stone
621,Pushup And Chinup Frequency Method,pushup and chinup frequency method
890,Stair Stepper,stair stepper
1058,Lateral Step Up,lateral step up
412,Cardio,cardio
343,Pin Press Bench (Barbell),pin press bench
1757,Wall Assisted Handstand Pushup,wall assisted handstand pushup
1501,Sandbag Shoulder,sandbag shoulder
742,Windshield Wipers,windshield wipers
664,Nothing,nothing
263,Seated Flyes (Cables),seated flyes
1436,Step downs,step downs
451,Around The World,around the world
1323,KB Around The World,kb around the world
764,around the world,around the world
1127,Lu Raises,lu raises
499,Straight Arm Pushdown,straight arm pushdown
181,Narrow Push Up,narrow push up
1419,Flex - Horizontal Push (Placeholder),flex horizontal push
278,Tibialis,tibialis
659,Pushup With Rotation,pushup with rotation
822,Fire Hydrants,fire hydrants
1450,Wall Sit Hold,wall sit hold
1801,45° Incline Barbell Press,45 incline barbell press
1274,Double-Leg Stretch,double leg stretch
637,Round Off,round off
1200,Incline cable flies,incline cable flies
1065,Bench Press Incline (Close Grip),bench press incline
906,Exercise Club Movements,exercise club movements
1389,Butterfly Reverse,butterfly reverse
886,Single Arm Overhead Exte,single arm overhead exte
1477,Alternate Leg Raises,alternate leg raises
674,Snatch Complex,snatch complex
985,Sled Drive,sled drive
768,Tib Raises,tib raises
528,Figure Four Stretch,figure four stretch
421,Cross-Body Lat Pull-Around,cross body lat pull around
737,Suite Case Weight Transfer (Abs),suite case weight transfer
580,Shadow Kick Boxing,shadow kick boxing
1261,Machine Bench,machine bench
1643,Handstand Progression,handstand progression
620,Fasted Walking,fasted walking
1276,Single-Leg Stand,single leg stand
593,Yoga,yoga
889,Curtesy Step Up,curtesy step up
826,Wide Neutral Pullups,wide neutral pullups
1573,Deadbug,deadbug
526,Hurdler Stretch,hurdler stretch
815,Lateral Leg Raises,lateral leg raises
360,Lateral Med Ball Throw,lateral med ball throw
1172,dead hang time,dead hang time
1589,Kettlebell Toe Raise,kettlebell toe raise
1076,Sled Pull,sled pull
1393,Overhead Plate Circle,overhead plate circle
1352,Split stance KB Windmill,split stance kb windmill
732,Bent Over Reverse Fly,bent over reverse fly
1177,Arms Behind Back Shoulder Stretch,arms behind back shoulder stretch
842,Plyometric Jumps,plyometric jumps
1315,Backwards Sled Pull,backwards sled pull
1173,2 Handed Anyhow,2 handed anyhow
1590,Reverse-Grip Dumbbell Press,reverse grip dumbbell press
1571,Zercher RDL,zercher rdl
556,Agachamento Hack Sentado,agachamento hack sentado
506,PJR Pullover,pjr pullover
345,Light Jog,light jog
825,Seated Pin Press (Barbell),seated pin press
1495,Sandbag To Shoulder,sandbag to shoulder
480,Conditioning Circuit,conditioning circuit
840,50m Sprints,50m sprints
405,Seated Overhead Pin Press (Barbell),seated overhead pin press
1752,Zone 2 Cardio,zone 2 cardio
521,Skier,skier
703,Smith Machine Shrugs,smith machine shrugs
198,Wall Press Dead Bug,wall press dead bug
932,Weighted Wall Sits,weighted wall sits
199,Skull Crusher (Bodyweight),skull crusher
706,rice bucket,rice bucket
1384,Couch Touches,couch touches
972,Rope Cable Pullovers,rope cable pullovers
1166,bent press,bent press
961,Single Arm Snatch,single arm snatch
206,Double Leg Multi-Directional Pogo,double leg multi directional pogo
1379,Running In Place,running in place
1346,Oblique QL Side Raise,oblique ql side raise
1638,"Incline Treadmill Walk (5–10 Incline, 3.0 Speed)",incline treadmill walk
1253,Single Arm Dumbbell Press,single arm dumbbell press
1285,Alternating Good Morning,alternating good morning
154,cable press around,cable press around
1324,Kneeling Windmill Press,kneeling windmill press
1661,Thoracic Extension Stretch,thoracic extension stretch
898,Snatch Grip Shrugs,snatch grip shrugs
1626,Secondary Hold,secondary hold
1435,Lateral walks  (banded),lateral walks
1518,Zottman Curl In Deep Lunge,zottman curl in deep lunge
1347,Back Extension Crunches,back extension crunches
905,Shiko,shiko
346,Cardio (Zone 2),cardio
666,Elliptical,elliptical
1446,Diamond Pushups,diamond pushups
1691,RP Incline Hammer Strength Press,rp incline hammer strength press
455,Single Arm Pushdown,single arm pushdown
1208,Wood Chop (Resistance Band),wood chop
1303,kettlebell biceps,kettlebell biceps
769,Decline Hammer Strength,decline hammer strength
638,Cast Backward Circle,cast backward circle
871,Wood Chop (High To Low),wood chop
295,Incline Pushdown (Cable),incline pushdown
1505,Rotator Cuff (Seated - Kneesovertoes),rotator cuff
583,Thruster (Barbell),thruster
1272,Leg Circles,leg circles
